timestamp_ms,cycleCount,tempC,currentA,accX_g,accY_g,accZ_g,alertMsg
129000,26,27.62,0.67,0.0,0.27,9.97,
130000,27,28.36,0.57,0.07,0.12,9.96,
131000,27,29.07,0.69,-0.02,0.23,9.59,
132000,27,29.74,0.5,-0.02,-0.14,9.79,
133000,27,30.36,0.32,0.06,-0.05,9.59,Alerta: Temperatura alta!
134000,27,30.92,0.61,0.17,0.19,9.78,Alerta: Temperatura alta!
135000,28,31.43,0.45,0.13,-0.23,9.84,Alerta: Temperatura alta!
136000,28,31.87,0.42,-0.27,0.17,9.66,Alerta: Temperatura alta!
137000,28,32.25,0.33,-0.21,-0.14,9.9,Alerta: Temperatura alta!
138000,28,32.55,0.33,0.18,0.05,9.65,Alerta: Temperatura alta!
139000,28,32.78,0.62,0.07,-0.12,9.64,Alerta: Temperatura alta!
140000,29,32.92,0.62,0.2,0.29,9.95,Alerta: Temperatura alta!
141000,29,32.99,0.4,0.15,0.16,9.52,Alerta: Temperatura alta!
142000,29,32.98,0.31,0.29,0.13,10.01,Alerta: Temperatura alta!
143000,29,32.89,0.55,-0.09,0.14,9.55,Alerta: Temperatura alta!
144000,29,32.73,0.67,-0.08,0.18,9.72,Alerta: Temperatura alta!
145000,30,32.48,0.5,-0.01,0.05,9.93,Alerta: Temperatura alta!
146000,30,32.16,0.66,-0.16,0.05,10.06,Alerta: Temperatura alta!
147000,30,31.77,0.52,-0.01,-0.0,9.82,Alerta: Temperatura alta!
148000,30,31.31,0.26,0.06,0.2,9.67,Alerta: Temperatura alta!
149000,30,30.78,0.56,-0.26,-0.27,9.86,Alerta: Temperatura alta!
150000,31,30.2,0.33,0.15,-0.11,9.77,Alerta: Temperatura alta!
151000,31,29.57,0.45,-0.19,-0.16,9.99,
152000,31,28.89,0.35,-0.09,-0.02,9.51,
153000,31,28.17,0.41,0.29,0.03,9.76,
154000,31,27.42,0.3,0.25,0.06,9.66,
155000,32,26.65,0.53,0.14,0.16,9.83,
156000,32,25.86,0.52,-0.11,-0.12,10.05,
157000,32,25.06,0.68,0.05,-0.16,9.64,
158000,32,24.26,0.27,0.23,0.2,9.59,
159000,32,23.47,0.53,0.28,-0.13,9.52,
160000,33,22.7,0.47,0.1,0.19,9.95,
161000,33,21.94,0.52,-0.15,-0.17,9.99,
162000,33,21.22,0.38,-0.22,0.04,10.05,
163000,33,20.54,0.68,0.25,0.05,9.74,
164000,33,19.9,0.71,0.02,0.24,10.07,
165000,34,19.31,0.44,-0.05,-0.11,9.7,
166000,34,18.77,0.63,0.0,-0.17,9.94,
167000,34,18.3,0.62,-0.13,0.01,9.62,
168000,34,17.9,0.71,0.13,-0.25,10.06,
169000,34,17.57,0.68,0.26,-0.27,10.0,
170000,35,17.31,0.46,0.07,-0.25,10.08,
171000,35,17.13,0.7,0.22,0.24,10.07,
172000,35,17.02,0.56,0.23,0.16,9.7,
173000,35,17.0,0.45,-0.24,0.13,9.51,
174000,35,17.06,0.35,0.03,-0.15,9.72,
175000,36,17.19,0.6,-0.2,-0.16,9.6,
176000,36,17.41,0.63,0.21,0.07,10.06,
177000,36,17.7,0.75,0.26,0.27,9.92,
178000,36,18.06,0.61,0.29,0.21,9.61,
179000,36,18.49,0.69,-0.08,0.15,9.99,
180000,37,18.99,0.44,0.27,0.2,10.1,
181000,37,19.55,0.42,0.24,0.21,9.92,
182000,37,20.16,0.64,-0.22,0.05,9.86,
183000,37,20.82,0.35,0.0,-0.28,9.58,
184000,37,21.52,0.68,0.16,0.12,10.03,
185000,38,22.26,0.66,-0.16,-0.0,9.74,
186000,38,23.02,0.52,-0.23,-0.1,10.03,
187000,38,23.81,0.64,0.28,0.15,9.9,
188000,38,24.6,0.56,-0.1,0.19,10.04,
189000,38,25.4,0.33,-0.05,0.27,9.69,
190000,39,26.2,0.28,0.28,-0.01,10.04,
191000,39,26.98,0.32,0.19,0.18,9.81,
192000,39,27.75,0.69,0.3,0.26,9.55,
193000,39,28.48,0.45,-0.17,0.21,9.93,
194000,39,29.18,0.36,-0.07,-0.12,9.67,
195000,40,29.84,0.58,-0.01,0.14,9.67,
196000,40,30.46,0.56,0.0,0.12,9.68,Alerta: Temperatura alta!
197000,40,31.01,0.37,-0.28,-0.07,10.09,Alerta: Temperatura alta!
198000,40,31.51,0.36,-0.05,-0.15,10.04,Alerta: Temperatura alta!
199000,40,31.94,0.61,-0.22,-0.08,9.94,Alerta: Temperatura alta!
200000,41,32.3,0.36,-0.2,0.21,9.97,Alerta: Temperatura alta!
201000,41,32.59,0.38,0.06,0.01,10.01,Alerta: Temperatura alta!
202000,41,32.81,0.28,0.01,0.25,9.76,Alerta: Temperatura alta!
203000,41,32.94,0.59,-0.27,0.2,9.51,Alerta: Temperatura alta!
204000,41,33.0,0.69,-0.03,0.3,10.0,Alerta: Temperatura alta!
205000,42,32.97,0.38,-0.01,-0.11,9.84,Alerta: Temperatura alta!
206000,42,32.87,0.36,-0.13,-0.12,9.85,Alerta: Temperatura alta!
207000,42,32.69,0.67,-0.23,0.13,9.66,Alerta: Temperatura alta!
208000,42,32.43,0.37,0.13,-0.09,9.65,Alerta: Temperatura alta!
209000,42,32.1,0.53,-0.06,0.08,9.77,Alerta: Temperatura alta!
210000,43,31.69,0.5,-0.12,0.11,9.58,Alerta: Temperatura alta!
211000,43,31.22,0.33,-0.27,-0.22,9.92,Alerta: Temperatura alta!
212000,43,30.69,0.74,0.19,-0.01,9.54,Alerta: Temperatura alta!
213000,43,30.1,0.38,0.23,0.03,9.82,Alerta: Temperatura alta!
214000,43,29.46,0.36,-0.04,0.29,9.65,
215000,44,28.77,0.32,-0.21,0.21,9.6,
216000,44,28.05,0.38,0.16,0.3,10.0,
217000,44,27.3,0.7,0.18,-0.28,9.51,
218000,44,26.52,0.34,0.27,-0.03,9.81,
219000,44,25.73,0.28,0.16,0.13,9.83,
220000,45,24.93,0.62,-0.18,0.21,9.76,
221000,45,24.13,0.53,0.12,0.04,9.9,
222000,45,23.34,0.43,-0.11,-0.04,9.65,
223000,45,22.57,0.4,0.02,0.27,9.81,
224000,45,21.82,0.34,0.08,-0.1,9.81,
225000,46,21.1,0.52,0.1,-0.11,10.01,
226000,46,20.42,0.45,0.29,0.26,9.59,
227000,46,19.79,0.49,-0.28,0.24,9.91,
228000,46,19.21,0.63,0.26,-0.05,9.81,
229000,46,18.69,0.64,0.17,-0.16,9.83,
230000,47,18.23,0.4,0.04,-0.28,9.86,
231000,47,17.84,0.63,-0.02,-0.08,9.91,
232000,47,17.52,0.75,0.19,-0.04,9.53,
233000,47,17.27,0.63,-0.25,0.1,10.06,
234000,47,17.1,0.62,0.24,-0.01,9.92,
235000,48,17.02,0.26,0.09,0.3,9.79,
236000,48,17.01,0.27,-0.1,0.17,9.77,
237000,48,17.08,0.27,0.27,0.01,9.88,
238000,48,17.23,0.27,0.15,-0.09,9.92,
239000,48,17.45,0.56,-0.04,0.26,9.82,
240000,49,17.76,0.59,-0.12,-0.29,9.83,
241000,49,18.13,0.75,0.13,0.1,9.74,
242000,49,18.57,0.5,-0.09,0.14,10.02,
243000,49,19.08,0.37,0.13,0.29,9.97,
244000,49,19.65,0.58,-0.25,-0.23,10.02,
245000,50,20.27,0.6,0.19,0.22,9.72,
246000,50,20.94,0.47,-0.26,-0.21,9.56,
247000,50,21.65,0.67,0.11,-0.1,9.51,
248000,50,22.39,0.52,0.18,0.23,9.58,
249000,50,23.15,0.35,0.15,-0.13,10.04,
250000,51,23.94,0.74,0.22,0.2,9.97,
251000,51,24.74,0.55,0.11,-0.23,9.79,
252000,51,25.54,0.58,0.29,0.1,10.01,
253000,51,26.33,0.63,-0.13,-0.23,10.05,
254000,51,27.11,0.66,0.19,-0.13,9.94,
255000,52,27.87,0.71,0.25,0.15,10.01,
256000,52,28.6,0.44,-0.01,-0.2,10.08,
257000,52,29.3,0.29,0.22,-0.14,9.6,
258000,52,29.95,0.73,-0.15,-0.21,9.92,
259000,52,30.55,0.69,0.1,-0.17,10.07,Alerta: Temperatura alta!
260000,53,31.1,0.7,0.12,-0.01,9.68,Alerta: Temperatura alta!
261000,53,31.59,0.63,-0.1,0.27,9.95,Alerta: Temperatura alta!
262000,53,32.01,0.43,0.02,-0.04,9.72,Alerta: Temperatura alta!
263000,53,32.36,0.59,-0.18,-0.2,9.55,Alerta: Temperatura alta!
264000,53,32.63,0.72,-0.12,0.25,9.54,Alerta: Temperatura alta!
265000,54,32.83,0.27,-0.04,0.01,10.1,Alerta: Temperatura alta!
266000,54,32.96,0.46,-0.1,0.21,9.9,Alerta: Temperatura alta!
267000,54,33.0,0.35,-0.28,-0.08,9.98,Alerta: Temperatura alta!
268000,54,32.96,0.73,-0.25,-0.12,9.77,Alerta: Temperatura alta!
269000,54,32.85,0.56,-0.07,0.07,9.67,Alerta: Temperatura alta!
270000,55,32.65,0.62,-0.29,-0.09,9.62,Alerta: Temperatura alta!
271000,55,32.38,0.65,-0.16,0.2,10.06,Alerta: Temperatura alta!
272000,55,32.03,0.68,0.09,0.02,9.96,Alerta: Temperatura alta!
273000,55,31.62,0.6,-0.28,-0.03,9.65,Alerta: Temperatura alta!
274000,55,31.14,0.71,0.01,-0.08,9.59,Alerta: Temperatura alta!
275000,56,30.59,0.68,0.08,-0.13,9.57,Alerta: Temperatura alta!
276000,56,30.0,0.48,-0.03,0.23,9.81,
277000,56,29.35,0.33,0.29,0.3,10.06,
278000,56,28.65,0.52,0.1,0.22,9.64,
279000,56,27.93,0.32,-0.18,0.29,10.04,
280000,57,27.17,0.49,0.17,-0.01,9.73,
281000,57,26.39,0.35,0.16,0.18,9.83,
282000,57,25.59,0.29,-0.11,-0.0,9.61,
283000,57,24.79,0.48,-0.26,-0.27,9.58,
284000,57,24.0,0.72,-0.12,0.16,9.61,
285000,58,23.21,0.49,-0.2,-0.24,9.56,
286000,58,22.44,0.29,-0.12,-0.03,9.68,
287000,58,21.7,0.29,0.21,0.24,9.52,
288000,58,20.99,0.38,0.03,0.27,9.96,
289000,58,20.31,0.63,0.02,0.02,9.55,
290000,59,19.69,0.65,-0.24,0.13,9.63,
291000,59,19.12,0.57,0.09,0.08,9.89,
292000,59,18.61,0.72,-0.1,0.18,9.69,
293000,59,18.16,0.6,0.02,0.25,9.64,
294000,59,17.78,0.68,0.06,0.21,9.86,
295000,60,17.47,0.72,0.19,0.21,9.67,
296000,60,17.24,0.35,0.11,0.02,9.59,
297000,60,17.08,0.31,-0.15,0.29,10.0,
298000,60,17.01,0.66,-0.18,0.15,9.74,
299000,60,17.01,0.55,-0.27,0.14,9.53,
300000,61,17.1,0.45,-0.19,0.16,9.54,
301000,61,17.26,0.42,0.21,-0.28,10.09,
302000,61,17.5,0.58,0.07,-0.27,10.0,
303000,61,17.81,0.48,-0.08,0.02,9.79,
304000,61,18.2,0.35,-0.06,-0.04,9.96,
305000,62,18.65,0.49,-0.1,-0.08,9.77,
306000,62,19.17,0.37,-0.22,0.06,9.52,
307000,62,19.75,0.52,-0.11,-0.2,9.89,
308000,62,20.38,0.33,-0.05,0.22,9.6,
309000,62,21.05,0.3,0.03,0.15,9.92,
310000,63,21.77,0.64,0.16,0.14,10.09,
311000,63,22.51,0.53,0.17,0.27,9.56,
312000,63,23.29,0.56,0.3,0.05,9.67,
313000,63,24.07,0.69,-0.06,-0.21,9.86,
314000,63,24.87,0.25,0.17,-0.26,10.02,
315000,64,25.67,0.43,0.25,0.26,9.85,
316000,64,26.46,0.64,-0.1,0.03,9.55,
317000,64,27.24,0.48,0.02,-0.18,9.96,
318000,64,28.0,0.31,-0.13,-0.1,9.6,
319000,64,28.72,0.6,-0.11,-0.27,9.56,
320000,65,29.41,0.38,0.12,0.15,9.71,
321000,65,30.06,0.36,-0.05,-0.07,9.61,Alerta: Temperatura alta!
322000,65,30.65,0.31,0.27,0.08,9.91,Alerta: Temperatura alta!
323000,65,31.19,0.57,0.23,-0.16,9.53,Alerta: Temperatura alta!
324000,65,31.66,0.28,-0.03,-0.01,9.83,Alerta: Temperatura alta!
325000,66,32.07,0.43,0.17,0.13,9.9,Alerta: Temperatura alta!
326000,66,32.41,0.52,0.03,0.04,9.92,Alerta: Temperatura alta!
327000,66,32.67,0.57,-0.3,0.04,10.09,Alerta: Temperatura alta!
328000,66,32.86,0.51,0.03,0.29,9.65,Alerta: Temperatura alta!
329000,66,32.97,0.34,-0.13,-0.29,9.71,Alerta: Temperatura alta!
330000,67,33.0,0.41,-0.28,0.15,9.97,Alerta: Temperatura alta!
331000,67,32.95,0.65,-0.28,0.21,9.75,Alerta: Temperatura alta!
332000,67,32.82,0.61,0.11,-0.01,10.04,Alerta: Temperatura alta!
333000,67,32.61,0.61,0.25,0.21,10.05,Alerta: Temperatura alta!
334000,67,32.33,0.41,0.26,0.03,9.81,Alerta: Temperatura alta!
335000,68,31.97,0.32,0.29,-0.19,9.73,Alerta: Temperatura alta!
336000,68,31.54,0.4,0.1,0.12,9.91,Alerta: Temperatura alta!
337000,68,31.05,0.6,-0.13,0.11,9.65,Alerta: Temperatura alta!
338000,68,30.5,0.46,0.25,0.27,9.96,Alerta: Temperatura alta!
339000,68,29.89,0.25,0.07,0.2,10.06,
340000,69,29.23,0.58,-0.16,0.2,9.8,
341000,69,28.53,0.34,0.21,0.27,10.09,
342000,69,27.8,0.46,-0.09,0.19,9.99,
343000,69,27.04,0.3,-0.25,0.07,9.96,
344000,69,26.25,0.62,0.08,-0.2,9.67,
345000,70,25.46,0.48,0.21,0.03,9.93,
346000,70,24.66,0.61,0.22,0.02,9.57,
347000,70,23.86,0.72,0.11,0.05,9.61,
348000,70,23.08,0.29,-0.09,0.1,9.89,
349000,70,22.31,0.63,-0.22,-0.13,9.72,
350000,71,21.57,0.5,-0.19,0.03,9.53,
351000,71,20.87,0.6,0.08,-0.27,9.79,
352000,71,20.21,0.73,0.11,-0.1,9.66,
353000,71,19.59,0.7,0.21,-0.13,9.71,
354000,71,19.03,0.74,0.08,0.11,10.05,
355000,72,18.53,0.37,0.05,0.01,9.95,
356000,72,18.09,0.67,0.13,0.19,9.77,
357000,72,17.72,0.63,0.23,0.05,10.08,
358000,72,17.43,0.52,0.22,0.23,9.78,
359000,72,17.21,0.64,0.1,-0.11,9.54,
360000,73,17.07,0.3,-0.04,0.14,9.56,
361000,73,17.0,0.73,0.07,0.23,9.52,
362000,73,17.02,0.27,-0.16,-0.18,10.08,
363000,73,17.12,0.48,0.13,0.25,9.71,
364000,73,17.29,0.36,-0.21,0.21,9.99,
365000,74,17.55,0.59,0.09,0.21,9.95,
366000,74,17.87,0.44,-0.21,-0.05,9.82,
367000,74,18.27,0.56,0.15,-0.2,9.58,
368000,74,18.74,0.68,-0.06,-0.05,9.61,
369000,74,19.27,0.48,-0.18,0.26,9.57,
370000,75,19.85,0.49,0.23,-0.01,10.11,
371000,75,20.49,0.54,0.26,-0.13,9.71,
372000,75,21.17,0.34,-0.21,0.02,9.86,
373000,75,21.89,0.61,-0.07,0.1,9.71,
374000,75,22.64,0.47,0.05,0.18,9.85,
375000,76,23.42,0.59,0.29,0.2,9.74,
376000,76,24.21,0.5,-0.27,0.25,9.87,
377000,76,25.01,0.37,0.01,-0.19,10.07,
378000,76,25.81,0.53,-0.09,-0.05,9.88,
379000,76,26.6,0.37,-0.04,-0.08,9.57,
380000,77,27.37,0.32,0.16,0.03,9.91,
381000,77,28.12,0.75,0.16,-0.12,9.87,
382000,77,28.84,0.53,-0.28,0.24,9.86,
383000,77,29.52,0.5,0.22,0.19,9.86,
384000,77,30.16,0.33,0.1,-0.2,9.68,Alerta: Temperatura alta!
385000,78,30.74,0.45,0.29,0.12,9.55,Alerta: Temperatura alta!
386000,78,31.27,0.33,0.06,-0.14,10.07,Alerta: Temperatura alta!
387000,78,31.74,0.71,-0.19,0.2,9.88,Alerta: Temperatura alta!
388000,78,32.13,0.39,0.26,0.28,10.07,Alerta: Temperatura alta!
389000,78,32.46,0.58,-0.13,-0.27,10.0,Alerta: Temperatura alta!
390000,79,32.71,0.66,-0.15,-0.05,9.92,Alerta: Temperatura alta!
391000,79,32.88,0.75,-0.1,0.25,10.09,Alerta: Temperatura alta!
392000,79,32.98,0.33,-0.11,0.08,9.53,Alerta: Temperatura alta!
393000,79,33.0,0.35,0.14,0.28,9.58,Alerta: Temperatura alta!
394000,79,32.93,0.5,0.03,0.19,9.77,Alerta: Temperatura alta!
395000,80,32.79,0.46,0.18,0.06,9.72,Alerta: Temperatura alta!
396000,80,32.57,0.28,-0.04,-0.21,10.09,Alerta: Temperatura alta!
397000,80,32.27,0.41,0.0,-0.01,9.61,Alerta: Temperatura alta!
398000,80,31.9,0.71,-0.24,-0.22,9.77,Alerta: Temperatura alta!
399000,80,31.46,0.57,-0.17,0.13,10.01,Alerta: Temperatura alta!
400000,81,30.96,0.71,0.25,-0.12,9.91,Alerta: Temperatura alta!
401000,81,30.4,0.34,-0.21,0.1,10.02,Alerta: Temperatura alta!
402000,81,29.78,0.35,0.01,0.1,9.95,
403000,81,29.12,0.7,0.16,-0.12,9.97,
404000,81,28.41,0.68,0.18,0.22,10.05,
405000,82,27.67,0.75,0.26,0.07,9.66,
406000,82,26.91,0.67,0.07,0.02,9.87,
407000,82,26.12,0.41,-0.18,0.18,9.91,
408000,82,25.33,0.28,0.2,-0.09,10.05,
409000,82,24.53,0.37,-0.06,0.02,9.96,
410000,83,23.73,0.29,-0.21,0.07,10.09,
411000,83,22.95,0.38,0.24,0.0,9.74,
412000,83,22.19,0.6,0.0,-0.03,9.98,
413000,83,21.45,0.51,-0.09,-0.17,10.05,
414000,83,20.76,0.65,0.19,0.15,10.04,
415000,84,20.1,0.66,-0.07,-0.09,10.09,
416000,84,19.49,0.4,0.04,0.02,9.72,
417000,84,18.94,0.66,0.2,-0.2,9.63,
418000,84,18.45,0.49,0.27,-0.29,9.87,
419000,84,18.02,0.27,-0.28,0.02,10.02,
420000,85,17.67,0.42,-0.11,-0.1,10.06,
421000,85,17.39,0.27,0.21,0.24,9.59,
422000,85,17.18,0.7,0.11,-0.07,9.87,
423000,85,17.05,0.34,0.19,0.11,9.8,
424000,85,17.0,0.65,-0.04,-0.14,9.51,
425000,86,17.03,0.36,0.23,-0.16,9.85,
426000,86,17.14,0.35,0.21,-0.12,9.92,
427000,86,17.33,0.39,-0.22,-0.26,9.68,
428000,86,17.6,0.38,0.07,0.18,9.6,
429000,86,17.94,0.66,0.19,0.08,9.72,
430000,87,18.35,0.39,-0.24,-0.05,9.65,
431000,87,18.82,0.44,0.1,-0.11,10.05,
432000,87,19.36,0.61,0.27,0.11,10.08,
433000,87,19.96,0.37,0.21,0.05,9.67,
434000,87,20.6,0.53,0.17,0.22,9.75,
435000,88,21.29,0.59,0.07,0.08,10.04,
436000,88,22.02,0.29,-0.24,0.09,9.71,
437000,88,22.77,0.29,0.13,0.24,9.76,
438000,88,23.55,0.51,0.24,-0.17,10.02,
439000,88,24.34,0.59,0.0,-0.21,10.09,
440000,89,25.14,0.32,-0.21,-0.18,9.67,
441000,89,25.94,0.54,0.13,-0.06,9.79,
442000,89,26.73,0.52,-0.05,-0.06,9.86,
443000,89,27.5,0.48,0.15,-0.06,9.6,
444000,89,28.25,0.28,0.29,0.18,10.07,
445000,90,28.96,0.68,0.15,0.18,9.6,
446000,90,29.63,0.3,0.03,0.3,9.79,
447000,90,30.26,0.55,0.22,0.21,9.52,Alerta: Temperatura alta!
448000,90,30.84,0.49,-0.1,0.24,9.68,Alerta: Temperatura alta!
449000,90,31.35,0.38,0.08,-0.3,9.92,Alerta: Temperatura alta!
450000,91,31.81,0.59,-0.11,-0.21,9.78,Alerta: Temperatura alta!
451000,91,32.19,0.31,-0.05,-0.26,9.87,Alerta: Temperatura alta!
452000,91,32.51,0.74,-0.14,0.12,9.69,Alerta: Temperatura alta!
